time_ms,adc_avg,voltage,temperature_C
0,262.40,0.2822,28.22
153,265.60,0.2856,28.56
308,264.05,0.2839,28.39
461,264.35,0.2842,28.42
615,263.50,0.2833,28.33
770,263.35,0.2832,28.32
923,263.55,0.2834,28.34
1077,263.65,0.2835,28.35
1231,263.80,0.2837,28.37
1385,263.75,0.2836,28.36
1540,263.35,0.2832,28.32
1693,264.10,0.2840,28.40
1847,263.60,0.2834,28.34
2001,263.50,0.2833,28.33
2155,264.35,0.2842,28.42
2310,263.95,0.2838,28.38
2463,263.35,0.2832,28.32
2618,263.50,0.2833,28.33
2771,263.65,0.2835,28.35
2925,263.75,0.2836,28.36
3080,264.50,0.2844,28.44
3233,263.90,0.2838,28.38
3388,263.35,0.2832,28.32
3542,263.55,0.2834,28.34
3695,263.80,0.2837,28.37
3850,264.30,0.2842,28.42
4003,263.95,0.2838,28.38
4158,264.20,0.2841,28.41
4312,263.45,0.2833,28.33
4466,263.60,0.2834,28.34
4620,263.40,0.2832,28.32
4773,267.30,0.2874,28.74
4928,265.20,0.2852,28.52
5082,263.90,0.2838,28.38
5236,264.75,0.2847,28.47
5390,264.35,0.2842,28.42
5543,265.25,0.2852,28.52
5698,264.35,0.2842,28.42
5852,264.20,0.2841,28.41
6006,264.75,0.2847,28.47
6160,263.90,0.2838,28.38
6315,264.10,0.2840,28.40
6468,263.75,0.2836,28.36
6622,264.35,0.2842,28.42
6776,264.15,0.2840,28.40
6930,263.45,0.2833,28.33
7085,264.30,0.2842,28.42
7238,264.00,0.2839,28.39
7392,264.95,0.2849,28.49
7546,265.25,0.2852,28.52
7700,262.20,0.2819,28.19
7855,265.10,0.2851,28.51
8008,263.85,0.2837,28.37
8163,265.65,0.2856,28.56
8316,258.55,0.2780,27.80
8470,265.00,0.2849,28.49
8625,265.50,0.2855,28.55
8778,262.30,0.2820,28.20
8933,262.15,0.2819,28.19
9086,265.25,0.2852,28.52
9240,267.15,0.2873,28.73
9395,261.55,0.2812,28.12
9548,262.35,0.2821,28.21
9703,262.60,0.2824,28.24
9857,262.45,0.2822,28.22
10011,260.35,0.2799,27.99
10165,266.05,0.2861,28.61
10319,264.60,0.2845,28.45
10473,264.95,0.2849,28.49
10627,262.30,0.2820,28.20
10781,265.10,0.2851,28.51
10935,264.25,0.2841,28.41
11089,266.05,0.2861,28.61
11243,260.70,0.2803,28.03
11398,264.15,0.2840,28.40
11551,262.00,0.2817,28.17
11706,265.00,0.2849,28.49
11859,267.10,0.2872,28.72
12014,268.55,0.2888,28.88
12168,257.95,0.2774,27.74
12322,260.60,0.2802,28.02
12476,264.15,0.2840,28.40
12630,262.50,0.2823,28.23
12784,263.05,0.2828,28.28
12938,267.80,0.2880,28.80
13092,264.85,0.2848,28.48
13246,264.35,0.2842,28.42
13401,262.00,0.2817,28.17
13554,264.25,0.2841,28.41
13709,264.10,0.2840,28.40
13862,263.35,0.2832,28.32
14017,264.10,0.2840,28.40
14171,264.70,0.2846,28.46
14325,263.30,0.2831,28.31
14479,264.45,0.2844,28.44
14632,264.65,0.2846,28.46
14787,264.20,0.2841,28.41
14941,264.50,0.2844,28.44
15095,263.95,0.2838,28.38
15249,252.15,0.2711,27.11
15404,261.75,0.2815,28.15
15557,262.90,0.2827,28.27
15712,263.40,0.2832,28.32
15865,263.65,0.2835,28.35
16020,263.40,0.2832,28.32
16174,264.10,0.2840,28.40
16328,269.15,0.2894,28.94
16482,263.25,0.2831,28.31
16635,267.55,0.2877,28.77
16790,265.25,0.2852,28.52
16944,265.35,0.2853,28.53
17098,261.95,0.2817,28.17
17252,264.10,0.2840,28.40
17406,265.70,0.2857,28.57
17560,264.55,0.2845,28.45
17715,265.45,0.2854,28.54
17868,263.60,0.2834,28.34
18023,266.75,0.2868,28.68
18177,267.20,0.2873,28.73
18331,264.00,0.2839,28.39
18485,263.45,0.2833,28.33
18638,264.65,0.2846,28.46
18793,262.85,0.2826,28.26
18947,259.75,0.2793,27.93
19101,257.25,0.2766,27.66
19255,259.70,0.2792,27.92
19409,261.95,0.2817,28.17
19563,261.80,0.2815,28.15
19718,262.90,0.2827,28.27
19871,264.05,0.2839,28.39
20026,263.35,0.2832,28.32
20179,264.70,0.2846,28.46
20334,264.25,0.2841,28.41
20488,263.15,0.2830,28.30
20641,263.95,0.2838,28.38
20796,264.15,0.2840,28.40
20950,263.70,0.2835,28.35
21104,263.95,0.2838,28.38
21258,264.05,0.2839,28.39
21412,263.70,0.2835,28.35
21566,263.55,0.2834,28.34
21721,263.30,0.2831,28.31
21874,263.05,0.2828,28.28
22029,263.90,0.2838,28.38
22182,264.25,0.2841,28.41
22337,263.80,0.2837,28.37
22491,263.95,0.2838,28.38
22645,264.55,0.2845,28.45
22799,262.50,0.2823,28.23
22952,262.00,0.2817,28.17
23107,263.25,0.2831,28.31
23261,263.05,0.2828,28.28
23415,260.65,0.2803,28.03
23569,264.65,0.2846,28.46
