tiempo_ms,R_NTC_Ohm,T_celsius
321523,16055.98,72.76
322525,16806.28,71.38
323526,17675.68,69.87
324528,18523.68,68.48
325529,19340.98,67.21
326531,20117.65,66.06
327533,20936.56,64.90
328535,21801.24,63.73
329536,22611.47,62.69
330537,23355.05,61.77
331539,24019.93,60.97
332540,24711.87,60.17
333543,25432.53,59.36
334544,26056.34,58.69
335546,26834.53,57.87
336547,27647.06,57.04
337549,28496.24,56.21
338550,29083.97,55.65
339553,30000.00,54.80
340554,30796.81,54.09
341556,31290.32,53.66
342557,32139.92,52.94
343559,33025.21,52.21
344560,33948.50,51.47
345562,34329.00,51.17
346564,35309.73,50.43
347566,37850.47,48.59
348567,41717.17,46.06
349569,45351.35,43.92
350570,49534.88,41.69
351571,53602.48,39.73
352574,57368.42,38.05
353575,61608.39,36.31
354577,64744.53,35.12
355578,68769.24,33.67
356580,71269.85,32.82
357581,75333.34,31.51
358583,76779.67,31.07
359585,80619.47,29.93
360587,81428.57,29.70
361588,84814.82,28.75
362590,85700.94,28.51
363591,89417.48,27.54
364593,90392.16,27.29
365595,91386.14,27.04
366597,93434.35,26.54
367598,93434.35,26.54
368600,95567.01,26.02
369601,96666.67,25.76
370603,98936.17,25.24
371605,98936.17,25.24
372606,98936.17,25.24
373608,101304.35,24.71
374609,100107.53,24.98
375611,101304.35,24.71
376612,101304.35,24.71
377615,102527.47,24.44
378616,103777.78,24.17
379618,102527.47,24.44
380619,103777.78,24.17
381621,105056.18,23.89
382623,105056.18,23.89
383625,105056.18,23.89
384626,105056.18,23.89
385628,106363.64,23.62
386629,105056.18,23.89
387632,107701.15,23.34
388633,107701.15,23.34
389635,106363.64,23.62
390636,107701.15,23.34
391638,106363.64,23.62
392640,106363.64,23.62
393641,106363.64,23.62
394643,106363.64,23.62
395644,107701.15,23.34
396646,106363.64,23.62
397648,107701.15,23.34
398650,106363.64,23.62
399651,109069.77,23.06
400653,107701.15,23.34
401655,109069.77,23.06
402657,107701.15,23.34
403658,106363.64,23.62
404660,105056.18,23.89
405661,107701.15,23.34
406664,106363.64,23.62
407665,107701.15,23.34
408667,107701.15,23.34
409668,109069.77,23.06
410670,109069.77,23.06
411672,107701.15,23.34
412674,110470.59,22.78
413675,107701.15,23.34
414676,109069.77,23.06
415678,107701.15,23.34
416680,107701.15,23.34
417682,107701.15,23.34
418683,109069.77,23.06
419685,107701.15,23.34
420686,110470.59,22.78
421689,109069.77,23.06
