tiempo_ms,R_NTC_Ohm,T_celsius
0,26183.75,58.55
1001,27372.26,57.32
2002,30314.96,54.52
3004,33389.83,51.91
4005,36757.99,49.36
5007,40443.35,46.87
6008,43612.57,44.92
7011,47206.70,42.91
8012,49534.88,41.69
9014,52822.08,40.09
10015,55222.93,38.99
11017,58266.67,37.67
12018,60620.69,36.71
13020,63142.85,35.72
14021,65294.12,34.91
15023,66992.49,34.30
16024,69379.85,33.46
17027,71269.85,32.82
18028,73252.03,32.17
19030,76050.42,31.29
20031,77521.37,30.84
21032,79043.48,30.39
22034,80619.47,29.93
23035,81428.57,29.70
24037,83944.96,28.99
25038,84814.82,28.75
26041,85700.94,28.51
27042,87523.82,28.03
28044,87523.82,28.03
29045,88461.54,27.78
30047,90392.16,27.29
31048,90392.16,27.29
32050,91386.14,27.04
33051,92400.00,26.79
34053,91386.14,27.04
35055,93434.35,26.54
36057,93434.35,26.54
37058,94489.80,26.28
38060,95567.01,26.02
39061,96666.67,25.76
40062,96666.67,25.76
41064,95567.01,26.02
42065,95567.01,26.02
43067,96666.67,25.76
44069,97789.48,25.50
45071,98936.17,25.24
46072,97789.48,25.50
47074,100107.53,24.98
48075,98936.17,25.24
49077,98936.17,25.24
50078,101304.35,24.71
51080,100107.53,24.98
52082,100107.53,24.98
53084,100107.53,24.98
54085,101304.35,24.71
55087,100107.53,24.98
56088,101304.35,24.71
57090,100107.53,24.98
58092,101304.35,24.71
59094,101304.35,24.71
60095,101304.35,24.71
61096,101304.35,24.71
62098,102527.47,24.44
63099,102527.47,24.44
64102,103777.78,24.17
65103,103777.78,24.17
66105,103777.78,24.17
67106,103777.78,24.17
68108,103777.78,24.17
69109,103777.78,24.17
70112,103777.78,24.17
71113,103777.78,24.17
72115,102527.47,24.44
73116,105056.18,23.89
74118,105056.18,23.89
75119,102527.47,24.44
76121,103777.78,24.17
77123,103777.78,24.17
78125,103777.78,24.17
79126,103777.78,24.17
80128,105056.18,23.89
81129,103777.78,24.17
82130,105056.18,23.89
83133,105056.18,23.89
84134,103777.78,24.17
85136,103777.78,24.17
86137,105056.18,23.89
87139,105056.18,23.89
88140,103777.78,24.17
89143,103777.78,24.17
90144,106363.64,23.62
91146,105056.18,23.89
92147,103777.78,24.17
93149,105056.18,23.89
94150,101304.35,24.71
95152,103777.78,24.17
96154,103777.78,24.17
97156,106363.64,23.62
98157,106363.64,23.62
99159,105056.18,23.89
100160,105056.18,23.89
101161,106363.64,23.62
102164,105056.18,23.89
103165,105056.18,23.89
104167,106363.64,23.62
